code,description,fee
85652,Rbc sed rate automated,2.7
85660,Rbc sickle cell test,5.51
85670,Thrombin time plasma,5.77
85675,Thrombin time titer,6.85
85705,Thromboplastin inhibition,9.63
85730,Thromboplastin time partial,6.01
85732,Thromboplastin time partial,6.47
85810,Blood viscosity examination,11.67
86000,Agglutinins febrile antigen,6.98
86001,Allergen specific igg,7.82
86003,Allg spec ige crude xtrc ea,5.22
86005,Allg spec ige multiallg scr,7.97
86008,Allg spec ige recomb ea,17.93
86015,Actin antibody each,12.05
86021,Wbc antibody identification,15.05
86022,Platelet antibodies,18.37
86023,Immunoglobulin assay,12.46
86036,Anca screen each antibody,12.05
86037,Anca titer each antibody,12.05
86038,Antinuclear antibodies,12.09
86039,Antinuclear antibodies (ana),11.16
86041,Acetylcholn rcptr bndng antb,18.4
86042,Acetylcholn rcptr blckg antb,18.4
86043,Acetylcholn rcptr modlg antb,12.05
86051,Aquaporin-4 antb elisa,11.53
86052,Aquaporin-4 antb cba each,12.05
86053,Aqaprn-4 antb flo cytmtry ea,37.73
86060,Antistreptolysin o titer,7.3
86063,Antistreptolysin o screen,5.77
86077,Phys blood bank serv xmatch,51.69
86078,Phys blood bank serv reactj,51.69
86079,Phys blood bank serv authrj,51.36
86140,C-reactive protein,5.18
86141,C-reactive protein hs,12.95
86146,Beta-2 glycoprotein antibody,25.45
86147,Cardiolipin antibody ea ig,25.45
86148,Anti-phospholipid antibody,16.07
86152,Cell enumeration & id,250.78
86155,Chemotaxis assay,15.99
86156,Cold agglutinin screen,8.07
86157,Cold agglutinin titer,8.06
86160,Complement antigen,12.0
86161,Complement/function activity,12.0
86162,Complement total (ch50),20.32
86171,Complement fixation each,10.01
86200,Ccp antibody,12.95
86215,Deoxyribonuclease antibody,13.25
86225,Dna antibody native,13.74
86226,Dna antibody single strand,12.11
86231,Ema each ig class,12.09
86235,Nuclear antigen antibody,17.93
86255,Fluorescent antibody screen,12.05
86256,Fluorescent antibody titer,12.05
86258,Dgp antibody each ig class,12.05
86277,Growth hormone antibody,15.74
86280,Hemagglutination inhibition,8.19
86294,Immunoassay tumor qual,25.57
86300,Immunoassay tumor ca 15-3,20.81
86301,Immunoassay tumor ca 19-9,20.81
86304,Immunoassay tumor ca 125,20.81
86305,Human epididymis protein 4,20.81
86308,Heterophile antibody screen,5.18
86309,Heterophile antibody titer,6.47
86310,Heterophile antibody absrbj,7.37
86316,Immunoassay tumor other,20.81
86317,Immunoassay infectious agent,14.99
86318,Ia infectious agent antibody,18.09
86320,Serum immunoelectrophoresis,29.92
86325,Other immunoelectrophoresis,23.13
86328,Ia nfct ab sarscov2 covid19,45.28
86329,Immunodiffusion nes,14.05
86331,Immunodiffusion ouchterlony,11.98
86332,Immune complex assay,24.37
86334,Immunofix e-phoresis serum,22.34
86335,Immunfix e-phorsis/urine/csf,29.35
86336,Inhibin a,15.59
86337,Insulin antibodies,21.41
86340,Intrinsic factor antibody,15.08
86341,Islet cell antibody,23.57
86343,Leukocyte histamine release,12.46
86344,Leukocyte phagocytosis,10.39
86352,Cell function assay w/stim,135.86
86353,Lymphocyte transformation,49.03
86355,B cells total count,37.73
86356,Mononuclear cell antigen,26.78
86357,Nk cells total count,37.73
86359,T cells total count,37.73
86360,T cell absolute count/ratio,46.98
86361,T cell absolute count,26.78
86362,Mog-igg1 antb cba each,12.05
86363,Mog-igg1 antb flo cytmtry ea,37.73
86364,Tiss trnsgltmnase ea ig clas,11.53
86366,Muscle-specific kinase antb,18.4
86367,Stem cells total count,77.78
86376,Microsomal antibody each,14.55
86381,Mitochondrial antibody each,25.45
86382,Neutralization test viral,16.91
86384,Nitroblue tetrazolium dye,13.61
86386,Nuclear matrix protein 22,21.78
86403,Particle agglut antbdy scrn,11.54
86406,Particle agglut antbdy titr,10.64
86408,Neutrlzg antb sarscov2 scr,42.13
86409,Neutrlzg antb sarscov2 titer,79.61
86413,Sars-cov-2 antb quantitative,51.43
86430,Rheumatoid factor test qual,6.14
86431,Rheumatoid factor quant,5.67
86480,Tb test cell immun measure,61.98
86481,Tb ag response t-cell susp,100.0
86486,Skin test unlisted antign ea,6.71
86510,Histoplasmosis skin test,8.39
86580,Tb intradermal test,11.08
86581,Strptcs pneum antb serot ia,92.03
86590,Streptokinase antibody,12.66
86592,Syphilis test non-trep qual,4.27
86593,Syphilis test non-trep quant,4.4
86596,Voltage-gtd ca chnl antb ea,12.05
86602,Antinomyces antibody,10.18
86603,Adenovirus antibody,12.87
86606,Aspergillus antibody,15.05
86609,Bacterium antibody,12.88
86611,Bartonella antibody,10.18
86612,Blastomyces antibody,12.9
86615,Bordetella antibody,13.19
86617,Lyme disease antibody,15.49
86618,Lyme disease antibody,17.03
86619,Borrelia antibody,13.38
86622,Brucella antibody,8.93
86625,Campylobacter antibody,13.12
86628,Candida antibody,12.01
86631,Chlamydia antibody,11.82
86632,Chlamydia igm antibody,12.68
86635,Coccidioides antibody,11.47
86638,Q fever antibody,12.12
86641,Cryptococcus antibody,14.41
86644,Cmv antibody,14.39
86645,Cmv antibody igm,16.85
86648,Diphtheria antibody,15.21
86651,Encephalitis californ antbdy,13.19
86652,Encephaltis east eqne anbdy,13.19
86653,Encephaltis st louis antbody,13.19
86654,Encephaltis west eqne antbdy,13.19
86658,Enterovirus antibody,13.03
86663,Epstein-barr antibody,13.12
86664,Epstein-barr nuclear antigen,15.29
86665,Epstein-barr capsid vca,18.14
86666,Ehrlichia antibody,10.18
86668,Francisella tularensis,14.16
86671,Fungus nes antibody,12.25
86674,Giardia lamblia antibody,14.72
86677,Helicobacter pylori antibody,16.85
86682,Helminth antibody,13.01
86684,Hemophilus influenza antibdy,15.84
86687,Htlv-i antibody,9.09
86688,Htlv-ii antibody,14.0
86689,Htlv/hiv confirmj antibody,19.35
86692,Hepatitis delta agent antbdy,17.16
86694,Herpes simplex nes antbdy,14.39
86695,Herpes simplex type 1 test,13.19
86696,Herpes simplex type 2 test,19.35
86698,Histoplasma antibody,13.79
86701,Hiv-1antibody,8.89
86702,Hiv-2 antibody,13.52
86703,Hiv-1/hiv-2 1 result antbdy,13.71
86704,Hep b core antibody total,12.05
86705,Hep b core antibody igm,11.77
86706,Hep b surface antibody,10.74
86707,Hepatitis be antibody,11.57
86708,Hepatitis a antibody,12.39
86709,Hepatitis a igm antibody,11.26
86710,Influenza virus antibody,13.55
86711,John cunningham antibody,16.89
86713,Legionella antibody,15.3
86717,Leishmania antibody,12.25
86720,Leptospira antibody,16.2
86723,Listeria monocytogenes,13.19
86727,Lymph choriomeningitis ab,12.87
86732,Mucormycosis antibody,15.0
86735,Mumps antibody,13.05
86738,Mycoplasma antibody,13.24
86741,Neisseria meningitidis,13.19
86744,Nocardia antibody,15.99
86747,Parvovirus antibody,15.03
86750,Malaria antibody,13.19
86753,Protozoa antibody nos,12.39
86756,Respiratory virus antibody,15.89
86757,Rickettsia antibody,19.35
86759,Rotavirus antibody,18.23
86762,Rubella antibody,14.39
86765,Rubeola antibody,12.88
86768,Salmonella antibody,13.19
86769,Sars-cov-2 covid-19 antibody,42.13
86771,Shigella antibody,24.48
86774,Tetanus antibody,14.8
86777,Toxoplasma antibody,14.39
86778,Toxoplasma antibody igm,14.41
86780,Treponema pallidum,13.24
86784,Trichinella antibody,12.56
86787,Varicella-zoster antibody,12.88
86788,West nile virus ab igm,16.85
86789,West nile virus antibody,14.39
86790,Virus antibody nos,12.88
86793,Yersinia antibody,13.19
86794,Zika virus igm antibody,16.85
86800,Thyroglobulin antibody,15.91
86803,Hepatitis c ab test,14.27
86804,Hep c ab test confirm,15.49
86805,Lymphocytotoxicity assay,189.51
86806,Lymphocytotoxicity assay,47.59
86807,Cytotoxic antibody screening,78.65
86808,Cytotoxic antibody screening,29.68
86812,Hla typing a b or c,25.81
86813,Hla typing a b or c,58.0
86816,Hla typing dr/dq,30.17
86817,Hla typing dr/dq,106.14
86821,Lymphocyte culture mixed,36.56
86825,Hla x-math non-cytotoxic,109.49
86826,Hla x-match noncytotoxc addl,36.53
86828,Hla class i&ii antibody qual,64.19
86829,Hla class i/ii antibody qual,64.19
86830,Hla class i phenotype qual,95.52
86831,Hla class ii phenotype qual,81.88
86832,Hla class i high defin qual,323.75
86833,Hla class ii high defin qual,325.8
86834,Hla class i semiquant panel,357.56
86835,Hla class ii semiquant panel,322.96
86850,Rbc antibody screen,9.77
86880,Coombs test direct,5.39
86885,Coombs test indirect qual,5.72
86886,Coombs test indirect titer,5.18
86900,Blood typing serologic abo,2.99
86901,Blood typing serologic rh(d),2.99
86902,Blood type antigen donor ea,6.35
86904,Blood typing patient serum,16.34
86905,Blood typing rbc antigens,3.83
86906,Bld typing serologic rh phnt,7.75
86940,Hemolysins/agglutinins auto,8.77
86941,Hemolysins/agglutinins,12.11
87003,Small animal inoculation,16.84
87015,Specimen infect agnt concntj,6.68
87040,Blood culture for bacteria,10.32
87045,Feces culture aerobic bact,9.44
87046,Stool cultr aerobic bact ea,9.44
87070,Culture othr specimn aerobic,8.62
87071,Culture aerobic quant other,9.89
87073,Culture bacteria anaerobic,9.66
87075,Cultr bacteria except blood,9.47
87076,Culture anaerobe ident each,8.08
87077,Culture aerobic identify,8.08
87081,Culture screen only,6.63
87084,Culture of specimen by kit,27.07
87086,Urine culture/colony count,8.07
87088,Urine bacteria culture,8.09
87101,Skin fungi culture,7.71
87102,Fungus isolation culture,8.41
87103,Blood fungus culture,20.46
87106,Fungi identification yeast,10.32
87107,Fungi identification mold,10.32
87109,Mycoplasma,15.39
87110,Chlamydia culture,19.6
87116,Mycobacteria culture,10.8
87118,Mycobacteric identification,14.61
87140,Culture type immunofluoresc,5.57
87143,Culture typing glc/hplc,12.52
87147,Culture type immunologic,5.18
87149,Dna/rna direct probe,20.05
87150,Dna/rna amplified probe,35.09
87152,Culture type pulse field gel,7.74
87153,Dna/rna sequencing,115.36
87154,Cul typ id bld pthgn 6+ trgt,218.06
87158,Culture typing added method,7.74
87164,Dark field exam spec collj,10.74
87166,Dark field exam w/o collj,11.3
87168,Macroscopic exam arthropod,4.27
87169,Macroscopic exam parasite,4.31
87172,Pinworm exam,4.27
87176,Tissue homogenization cultr,5.88
87177,Ova and parasites smears,8.9
87181,Sc std agar dilution per agt,4.75
87183,Sc std carbapenem resist gen,35.09
87184,Sc std disk method per plate,7.48
87185,Sc std enzyme detcj per nzm,4.75
87186,Sc std microdil/agar dil,8.65
87187,Sc std microdil/agar mlc,40.17
87188,Sc std macrobroth dil meth,6.64
87190,Sc std myobacteria prop meth,7.31
87197,Serum bactericidal titer,15.02
87205,Smear gram stain,4.27
87206,Smear fluorescent/acid stai,5.39
87207,Smear special stain,5.99
87209,Smear complex stain,17.98
87210,Smear wet mount saline/ink,5.82
87220,Tissue exam for fungi,4.27
87230,Toxin/antitoxin asy tiss cul,19.74
87250,Virus inoculate eggs/animal,19.56
87252,Virus inoculation tissue,26.07
87253,Virus inoculate tissue addl,20.2
87254,Virus inoculation shell via,19.56
87255,Genet virus isolate hsv,33.86
87260,Adenovirus ag if,14.43
87265,Pertussis ag if,11.98
87267,Enterovirus antibody dfa,13.42
87269,Giardia ag if,13.61
87270,Chlamydia trachomatis ag if,11.98
87271,Cytomegalovirus dfa,13.42
87272,Cryptosporidium ag if,11.98
87273,Herpes simplex 2 ag if,11.98
87274,Herpes simplex 1 ag if,11.98
87275,Influenza b ag if,12.25
87276,Influenza a ag if,16.07
87278,Legion pneumophilia ag if,15.6
87279,Parainfluenza ag if,16.43
87280,Respiratory syncytial ag if,13.42
87281,Pneumocystis carinii ag if,11.98
87283,Rubeola ag if,60.8
87285,Treponema pallidum ag if,12.18
87290,Varicella zoster ag if,13.42
87299,Antibody detection nos if,16.1
87300,Ag detection polyval if,11.98
87301,Adenovirus ag ia,11.98
87305,Aspergillus ag ia,11.98
87320,Chlmyd trach ag ia,15.0
87324,Clostridium ag ia,11.98
87327,Cryptococcus neoform ag ia,13.42
87328,Cryptosporidium ag ia,13.82
87329,Giardia ag ia,11.98
87332,Cytomegalovirus ag ia,11.98
87335,E coli 0157 ag ia,12.66
87336,Entamoeb hist dispr ag ia,16.0
87337,Entamoeb hist group ag ia,11.98
87338,Hpylori stool ag ia,14.38
87339,H pylori ag ia,16.0
87340,Hepatitis b surface ag ia,10.33
87341,Hep b surface ag neutrlzj ia,10.33
87350,Hepatitis be ag ia,11.53
87380,Hepatitis delta agent ag ia,18.36
87385,Histoplasma capsul ag ia,13.25
87389,Hiv-1 ag w/hiv-1&-2 ab ag ia,24.08
87390,Hiv-1 ag ia,24.06
87391,Hiv-2 ag ia,21.9
87400,Influenza a/b each ag ia,14.13
87420,Resp syncytial virus ag ia,13.91
87425,Rotavirus ag ia,11.98
87426,Sarscov coronavirus ag ia,35.33
87427,Shiga-like toxin ag ia,11.98
87428,Sarscov & inf vir a&b ag ia,70.29
87430,Strep a ag ia,16.81
87449,Nos each organism ag ia,11.98
87451,Polyvalent mult org ea ag ia,10.51
87467,Hepatitis b surface ag quan,25.32
87468,Anaplsma phgcytophlm amp prb,35.09
87469,Babesia microti amp prb,35.09
87471,Bartonella dna amp probe,35.09
87472,Bartonella dna quant,42.84
87475,Lyme dis dna dir probe,20.05
87476,Lyme dis dna amp probe,35.09
87478,Borrelia miyamotoi amp prb,35.09
87480,Candida dna dir probe,20.05
87481,Candida dna amp probe,35.09
87482,Candida dna quant,55.74
87483,Cns dna amp probe type 12-25,416.78
87484,Ehrlicha chaffeensis amp prb,35.09
87485,Chlmyd pneum dna dir probe,20.05
87486,Chlmyd pneum dna amp probe,35.09
87487,Chlmyd pneum dna quant,42.84
87490,Chlmyd trach dna dir probe,22.75
87491,Chlmyd trach dna amp probe,35.09
87492,Chlmyd trach dna quant,53.47
87493,C diff amplified probe,37.27
87494,Chlmy trch&neisra gonor mult,70.18
87495,Cytomeg dna dir probe,30.03
87496,Cytomeg dna amp probe,35.09
87497,Cytomeg dna quant,42.84
87498,Enterovirus probe&revrs trns,35.09
87500,Vanomycin dna amp probe,35.09
87501,Influenza dna amp prob 1+,51.31
87502,Influenza dna amp probe,95.8
87503,Influenza dna amp prob addl,29.22
87505,Nfct agent detection gi,128.29
87506,Iadna-dna/rna probe tq 6-11,262.99
87507,Iadna-dna/rna probe tq 12-25,416.78
87510,Gardner vag dna dir probe,20.05
87511,Gardner vag dna amp probe,35.09
87512,Gardner vag dna quant,41.76
87513,H pylri clrthmcn rst amp prb,35.09
87516,Hepatitis b dna amp probe,35.09
87517,Hepatitis b dna quant,42.84
87520,Hepatitis c rna dir probe,31.22
87521,Hepatitis c probe&rvrs trnsc,35.09
87522,Hepatitis c revrs trnscrpj,42.84
87523,Hepatitis d quantification,42.84
87525,Hepatitis g dna dir probe,29.8
87526,Hepatitis g dna amp probe,39.26
87527,Hepatitis g dna quant,41.76
87528,Hsv dna dir probe,20.05
87529,Hsv dna amp probe,35.09
87530,Hsv dna quant,42.84
87531,Hhv-6 dna dir probe,58.0
87532,Hhv-6 dna amp probe,35.09
87533,Hhv-6 dna quant,41.76
87534,Hiv-1 dna dir probe,21.92
87535,Hiv-1 probe&reverse trnscrpj,35.09
87536,Hiv-1 quant&revrse trnscrpj,85.1
87537,Hiv-2 dna dir probe,21.92
87538,Hiv-2 probe&revrse trnscripj,35.09
87539,Hiv-2 quant&revrse trnscripj,58.62
87540,Legion pneumo dna dir prob,20.05
87541,Legion pneumo dna amp prob,35.09
87542,Legion pneumo dna quant,41.76
87550,Mycobacteria dna dir probe,20.05
87551,Mycobacteria dna amp probe,48.24
87552,Mycobacteria dna quant,42.84
87555,M.tuberculo dna dir probe,26.88
87556,M.tuberculo dna amp probe,41.68
87557,M.tuberculo dna quant,42.84
87560,M.avium-intra dna dir prob,27.29
87561,M.avium-intra dna amp prob,35.09
87562,M.avium-intra dna quant,42.84
87563,M. genitalium amp probe,35.09
87564,Mtb rifampin rst amp prb tq,76.77
87580,M.pneumon dna dir probe,20.05
87581,M.pneumon dna amp probe,35.09
87582,M.pneumon dna quant,302.62
87590,N.gonorrhoeae dna dir prob,26.88
87591,N.gonorrhoeae dna amp prob,35.09
87592,N.gonorrhoeae dna quant,42.84
87593,Orthopoxvirus amp prb each,51.31
87594,Pneumcysts jirovecii amp prb,35.09
87623,Hpv low-risk types,35.09
87624,Hpv hi-risk typ pooled rslt,35.09
87625,Hpv types 16 & 18 only,40.55
87626,Hpv sep hi-rsk typ&pool rslt,70.2
87627,Jt spc pthgn&rx rsist gen26+,679.77
87631,Resp virus 3-5 targets,142.63
87632,Resp virus 6-11 targets,218.06
87633,Resp virus 12-25 targets,416.78
87634,Rsv dna/rna amp probe,70.2
87635,Sars-cov-2 covid-19 amp prb,51.31
87636,Sarscov2 & inf a&b amp prb,142.63
87637,Sarscov2&inf a&b&rsv amp prb,142.63
87640,Staph a dna amp probe,35.09
87641,Mr-staph dna amp probe,35.09
87650,Strep a dna dir probe,20.05
87651,Strep a dna amp probe,35.09
87652,Strep a dna quant,41.76
87653,Strep b dna amp probe,35.09
87660,Trichomonas vagin dir probe,20.05
87661,Trichomonas vaginalis amplif,35.09
87662,Zika virus dna/rna amp probe,51.31
87797,Detect agent nos dna dir,30.03
87798,Detect agent nos dna amp,35.09
87799,Detect agent nos dna quant,42.84
87800,Detect agnt mult dna direc,43.67
87801,Detect agnt mult dna ampli,70.2
87802,Strep b assay w/optic,12.73
87803,Clostridium toxin a w/optic,16.0
87804,Influenza assay w/optic,16.55
87806,Hiv ag w/hiv1&2 antb w/optic,32.77
87807,Rsv assay w/optic,13.1
87808,Trichomonas assay w/optic,15.29
87809,Adenovirus assay w/optic,21.76
87810,Chlmyd trach assay w/optic,35.29
87811,Sars-cov-2 covid19 w/optic,41.38
87812,Sarscov2&inf typ a&b w/optic,74.48
87850,N. gonorrhoeae assay w/optic,24.56
87880,Strep a assay w/optic,16.53
87899,Agent nos assay w/optic,16.07
87900,Phenotype infect agent drug,130.35
87901,Nfct agt gntyp alys hiv1 rev,257.45
87902,Nfct agt gntyp alys hep c,257.45
87903,Phenotype dna hiv w/culture,488.66
87904,Phenotype dna hiv w/clt add,26.07
87905,Ia nzmtc actv oth/thn virus,12.22
87906,Nfct agt gntyp alys hiv1,128.73
87910,Nfct agt gntyp alys cmv,257.45
87912,Nfct agt gntyp alys hep b,257.45
87913,Nfct agt gntyp alys sarscov2,257.45
88104,Cytopath fl nongyn smears,84.59
88106,Cytopath fl nongyn filter,67.81
88108,Cytopath concentrate tech,69.15
88112,Cytopath cell enhance tech,65.79
88120,Cytp urne 3-5 probes ea spec,544.8
88121,Cytp urine 3-5 probes cmptr,395.76
88125,Forensic cytopathology,27.86
88130,Sex chromatin identification,17.98
88140,Sex chromatin identification,7.99
88141,Cytopath c/v interpret,24.17
88142,Cytopath c/v thin layer,20.26
88143,Cytopath c/v thin layer redo,23.04
88147,Cytopath c/v automated,50.56
88148,Cytopath c/v auto rescreen,18.54
88150,Cytopath c/v manual,18.54
88152,Cytopath c/v auto redo,27.64
88153,Cytopath c/v redo,24.03
88155,Cytopath c/v index add-on,14.65
88160,Cytopath smear other source,81.9
88161,Cytopath smear other source,83.25
88162,Cytopath smear other source,128.23
88164,Cytopath tbs c/v manual,18.54
88165,Cytopath tbs c/v redo,42.22
88166,Cytopath tbs c/v auto redo,18.54
88167,Cytopath tbs c/v select,18.54
88172,Cytp dx eval fna 1st ea site,54.38
88173,Cytopath eval fna report,167.5
88174,Cytopath c/v auto in fluid,25.37
88175,Cytopath c/v auto fluid redo,26.61
88177,Cytp fna eval ea addl,29.2
88182,Cell marker study,149.71
88184,Flowcytometry/ tc 1 marker,81.57
88185,Flowcytometry/tc add-on,23.16
88187,Flowcytometry/read 2-8,35.25
88188,Flowcytometry/read 9-15,58.74
88189,Flowcytometry/read 16 & >,79.55
88230,Tissue culture lymphocyte,116.49
88233,Tissue culture skin/biopsy,140.73
88235,Tissue culture placenta,150.3
88237,Tissue culture bone marrow,143.75
88239,Tissue culture tumor,147.52
88240,Cell cryopreserve/storage,13.07
88241,Frozen cell preparation,12.09
88245,Chromosome analysis 20-25,173.17
88248,Chromosome analysis 50-100,173.17
88249,Chromosome analysis 100,173.17
88261,Chromosome analysis 5,264.34
88262,Chromosome analysis 15-20,125.49
88263,Chromosome analysis 45,150.29
88264,Chromosome analysis 20-25,144.61
88267,Chromosome analys placenta,188.57
88269,Chromosome analys amniotic,173.66
88271,Cytogenetics dna probe,21.42
88272,Cytogenetics 3-5,40.7
88273,Cytogenetics 10-30,34.81
88274,Cytogenetics 25-99,42.38
88275,Cytogenetics 100-300,51.19
88280,Chromosome karyotype study,33.47
88283,Chromosome banding study,68.6
88285,Chromosome count additional,26.91
88289,Chromosome study additional,34.43
88291,Cyto/molecular report,33.23
88300,Surgical path gross,16.45
88302,Tissue exam by pathologist,32.56
88304,Tissue exam by pathologist,41.29
88305,Tissue exam by pathologist,70.49
88307,Tissue exam by pathologist,279.28
88309,Tissue exam by pathologist,415.57
88311,Decalcify tissue,19.8
88312,Special stains group 1,110.1
88313,Special stains group 2,81.23
88314,Histochemical stains add-on,82.24
88319,Enzyme histochemistry,132.59
88321,Consltj&reprt sld prep elswr,94.32
88323,Consltj&reprt matrl prep sld,113.46
88325,Consltj compre rvw rec reprt,154.07
88329,Path consltj drg surg,52.37
88331,Path consltj surg 1 blk 1spc,97.68
88332,Path consltj surg ea add blk,53.71
88333,Path consltj surg cyto xm 1,88.62
88334,Path consltj surg cyto xm ea,54.04
88341,Imhchem/imcytchm ea add antb,94.66
88342,Imhchem/imcytchm 1st antb,110.77
88344,Imhchem/imcytchm ea mlt antb,174.22
88346,Imfluor 1st 1antb stain px,137.63
88348,Electron microscopy dx,480.35
88350,Imfluor ea addl 1antb stn px,107.42
88355,M/phmtrc alys skeletal musc,140.98
88356,Analysis nerve,224.9
88358,Analysis tumor,130.91
88360,Tumor immunohistochem/manual,120.84
88361,Tumor immunohistochem/comput,115.14
88362,Nerve teasing preparations,219.53
88363,Xm archive tissue molec anal,22.83
88364,Insitu hybridization (fish),127.22
88365,Insitu hybridization (fish),169.85
88366,Insitu hybridization (fish),266.53
88367,Insitu hybridization auto,105.4
88368,Insitu hybridization manual,146.69
88369,M/phmtrc alysishquant/semiq,129.57
88371,Protein western blot tissue,22.23
88372,Protein analysis w/probe,26.22
88373,M/phmtrc alys ishquant/semiq,63.78
88374,M/phmtrc alys ishquant/semiq,267.53
88375,Optical endomicroscpy interp,45.32
88377,M/phmtrc alys ishquant/semiq,386.03
88380,Microdissection laser,118.16
88381,Microdissection manual,188.65
88387,Macroscopic xm dsj&prep tiss,32.9
88720,Bilirubin total transcut,5.02
88738,Hgb quant transcutaneous,5.02
88740,Transcutaneous carboxyhb,9.37
88741,Transcutaneous methb,9.37
89049,Chct for mal hyperthermia,356.15
89050,Body fluid cell count,4.72
89051,Body fluid cell count,5.6
89055,Leukocyte assessment fecal,4.27
89060,Exam synovial fluid crystals,7.33
89125,Specimen fat stain,5.88
89160,Exam feces for meat fibers,4.85
89190,Nasal smear for eosinophils,5.79
89220,Sputum specimen collection,21.15
89230,Collect sweat for test,3.02
89300,Semen analysis w/huhner,9.84
89310,Semen analysis w/count,8.61
89320,Semen anal vol/count/mot,12.31
89321,Semen anal sperm detection,12.05
89322,Semen anal strict criteria,15.5
89325,Sperm antibody test,10.67
89329,Sperm evaluation test,19.59
89330,Evaluation cervical mucus,10.38
89331,Retrograde ejaculation anal,19.59
90460,Im admin 1st/only component,23.5
90461,Im admin each addl component,8.73
90471,Immunization admin,22.15
90472,Immunization admin each add,16.11
90473,Immune admin oral/nasal,17.46
90474,Immune admin oral/nasal addl,12.42
90785,Psytx complex interactive,14.77
90791,Psych diagnostic evaluation,174.22
90792,Psych diag eval w/med srvcs,203.08
90832,Psytx w pt 30 minutes,86.27
90833,Psytx w pt w e/m 30 min,81.9
90834,Psytx w pt 45 minutes,114.47
90836,Psytx w pt w e/m 45 min,103.72
90837,Psytx w pt 60 minutes,167.84
90838,Psytx w pt w e/m 60 min,137.29
90839,Psytx crisis initial 60 min,161.12
90840,Psytx crisis ea addl 30 min,77.54
90845,Psychoanalysis,109.77
90847,Family psytx w/pt 50 min,110.1
90849,Multiple family group psytx,40.62
90853,Group psychotherapy,30.55
90865,Narcosynthesis,171.53
90870,Electroconvulsive therapy,182.94
90880,Hypnotherapy,104.39
90901,Biofeedback train any meth,41.29
90912,Bfb training 1st 15 min,82.58
90913,Bfb training ea addl 15 min,32.9
90935,Hemodialysis one evaluation,61.76
90937,Hemodialysis repeated eval,88.95
90945,Dialysis one evaluation,77.54
90947,Dialysis repeated eval,106.74
90951,Esrd serv 4 visits p mo <2yr,1189.63
90954,Esrd serv 4 vsts p mo 2-11,1039.59
90955,Esrd srv 2-3 vsts p mo 2-11,541.11
90956,Esrd srv 1 visit p mo 2-11,368.57
90957,Esrd srv 4 vsts p mo 12-19,800.92
90958,Esrd srv 2-3 vsts p mo 12-19,521.3
90959,Esrd serv 1 vst p mo 12-19,340.71
90960,Esrd srv 4 visits p mo 20+,374.61
90961,Esrd srv 2-3 vsts p mo 20+,312.18
90962,Esrd serv 1 visit p mo 20+,216.17
90963,Esrd home pt serv p mo <2yrs,629.39
90964,Esrd home pt serv p mo 2-11,536.74
90965,Esrd home pt serv p mo 12-19,518.62
90966,Esrd home pt serv p mo 20+,311.84
90967,Esrd svc pr day pt <2,18.46
90968,Esrd svc pr day pt 2-11,17.79
90969,Esrd svc pr day pt 12-19,17.46
90970,Esrd svc pr day pt 20+,10.07
90997,Hemoperfusion,76.53
91010,Esophagus motility study,247.06
91013,Esophgl motil w/stim/perfus,28.53
91020,Gastric motility studies,310.16
91022,Duodenal motility study,195.03
91030,Acid perfusion of esophagus,163.47
91034,Gastroesophageal reflux test,203.42
91035,G-esoph reflx tst w/electrod,504.86
91037,Esoph imped function test,188.31
91038,Esoph imped funct test > 1hr,448.13
91040,Esoph balloon distension tst,579.71
91065,Breath hydrogen/methane test,64.79
91110,Gi trc img intral esoph-ile,806.29
91111,Gi trc img intral esophagus,961.71
91112,Gi wireless capsule measure,1776.06
91113,Gi trc img intral colon i&r,990.24
91117,Colon motility 6 hr study,122.52
91124,Rct snsatn tone&cmplianc std,772.39
91125,Anrct mano rct snsatn&balo,349.1
91132,Electrogastrography,488.07
91133,Electrogastrography w/test,510.9
91200,Liver elastography,33.9
92002,Intrm oph exam new patient,85.26
92004,Compre oph exam new pt 1/>,150.38
92012,Intrm oph exam est patient,90.97
92014,Compre oph exam est pt 1/>,127.89
92018,Compl oph exam general anes,113.79
92019,Lmtd oph exam general anes,59.08
92020,Gonioscopy,26.85
92025,Cptrized corneal topography,37.26
92060,Sensorimotor examination,64.45
92065,Orthop traing pfrmd phys/qhp,38.6
92066,Orthop traing supvj phys/qhp,26.18
92071,Contact lens fitting for tx,35.92
92072,Fitg c-lens keratoconus 1st,120.84
92081,Limited visual field xm,33.9
92082,Intermediate visual field xm,47.67
92083,Extended visual field xm,64.11
92100,Serial tonometry,84.93
92132,Cptrzd oph dx img ant sgm,29.88
92133,Cptrzd oph dx img pst sgm on,30.88
92134,Cptrz oph dx img pst sgm rta,32.9
92136,Ophthalmic biometry,48.34
92137,Cptrz oph img pst sg rta oct,60.09
92145,Corneal hysteresis deter,13.76
92201,Opscpy extnd rta draw uni/bi,25.18
92202,Opscpy extnd on/mac draw,15.78
92227,Img rta detcj/mntr ds staff,18.8
92228,Img rta detc/mntr ds phy/qhp,30.55
92229,Img rta detc/mntr ds poc aly,46.99
92230,Fluorescein angioscopy i&r,133.6
92235,Fluorescein angrph mltiframe,163.14
92240,Icg angiography i&r uni/bi,246.72
92242,Fluorescein&icg angiography,338.02
92250,Fundus photography w/i&r,37.26
92260,Ophthalmodynamometry,18.8
